Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title
0,3,male,,0,0,2,14.4583,N,C,Mr.
0,3,male,,0,0,S,7.55,N,S,Mr.
0,3,male,7.0,4,1,3,29.125,N,Q,Master.
1,1,female,,1,0,P,146.5208,B,C,Mrs.
1,3,female,29.0,0,2,2,15.2458,N,C,Mrs.
1,1,male,,0,0,1,30.5,C,S,Mr.
1,1,female,40.0,0,0,P,153.4625,C,S,Miss.
1,1,female,31.0,0,2,3,164.8667,C,S,Miss.
1,1,male,25.0,1,0,1,91.0792,B,C,Mr.
1,3,female,,0,0,2,7.2292,N,C,Mrs.
0,3,male,26.0,1,0,3,7.8542,N,S,Mr.
1,2,female,40.0,0,0,3,13.0,N,S,Miss.
0,3,male,,0,0,3,7.75,N,Q,Mr.
1,2,female,7.0,0,2,F,26.25,N,S,Miss.
1,1,female,24.0,0,0,1,83.1583,C,C,Miss.
0,3,female,14.0,0,0,3,7.8542,N,S,Miss.
0,3,male,23.0,0,0,7,9.225,N,S,Mr.
0,2,male,19.0,1,1,C,36.75,N,S,Mr.
0,3,male,35.0,0,0,3,8.05,N,S,Mr.
1,3,male,0.42,0,1,2,8.5167,N,C,Master.
0,2,male,18.0,0,0,2,11.5,N,S,Mr.
1,1,female,22.0,0,0,1,151.55,N,S,Miss.
0,3,male,,0,0,3,7.7375,N,Q,Mr.
0,1,male,,0,0,1,31.0,N,S,Mr.
0,3,female,22.0,0,0,7,9.8375,N,S,Miss.
1,1,female,40.0,1,1,1,134.5,E,C,Mrs.
0,3,male,32.0,0,0,3,7.8958,N,S,Mr.
1,3,female,22.0,0,0,3,7.75,N,S,Miss.
1,2,female,25.0,0,1,2,26.0,N,S,Mrs.
0,3,female,2.0,3,2,3,27.9,N,S,Miss.
0,3,male,33.0,0,0,3,8.6625,N,C,Mr.
1,2,female,50.0,0,0,F,10.5,N,S,Miss.
0,3,male,28.0,0,0,3,9.5,N,S,Mr.
1,1,male,,0,0,1,35.5,C,S,Mr.
0,3,male,29.0,1,0,3,7.0458,N,S,Mr.
1,1,male,32.0,0,0,1,30.5,B,C,Dr.
0,3,male,43.0,0,0,C,6.45,N,S,Mr.
